,stid,lat,lon,elev,NAME,STATE,id,DCP Info,Field Maint,Maint Cont
116,TT033,36.95103,-107.2309,2209.8,IRAWS 4,NM,30933,,,
117,TT075,36.98972,-107.23083,1894.6368,IRAWS 3,NM,31302,,,
118,TT826,32.4235,-114.16211,317.6016,CIPRIANO,AZ,221864,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Full BLM
119,TT823,32.68878,-113.74889,159.7152,MOHAWK DUNES,AZ,221861,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Full BLM
120,TT824,32.42483,-113.79011,254.8128,DEVILS HILLS,AZ,221862,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Full BLM
121,TT825,32.61528,-114.00836,174.65040000000002,BAKERS TANK,AZ,221863,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Full BLM
122,TT827,32.48658,-114.4635,100.8888,FTHL YDMA,AZ,221865,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Full BLM
123,TT790,36.832,-105.24761,3367.4304,CARSON PORTABLE #1,NM,216566,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Portable Return BLM
124,TR492,35.23862,-112.21681,2097.6336,KAIBAB-SK MICRO #3,AZ,3990,Forest Technology System - F6 (F6),United States Forest Service,Portable Return BLM
125,TT501,33.39606,-112.25529,297.7896,AZ02 QD,AZ,64467,Forest Technology System - F6 (F6),State and Private Forestry,Depot BLM
126,TT819,32.66314,-111.42154,533.4,PICACHO PEAK,AZ,221224,Forest Technology System - F6 (F6),State and Private Forestry,Depot BLM
127,TS559,36.56988,-104.58592,1828.8000000000002,FWS R2 PORT #1,NM,14530,Forest Technology System - F6 (F6),Fish and Wildlife Service,Portable Return BLM
128,TT431,32.98167,-110.21222,1078.992,IRAWS 52 (GOODWIN),AZ,61772,,,
129,TT862,34.19145,-105.72613,1981.2,CIBOLA PORTABLE #2,NM,239078,Forest Technology System - F6 (F6),Bureau of Land Management - Boise,Portable Return BLM
130,QRCA3,31.76111,-109.34861,1737.3600000000001,RUCKER,AZ,2806,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
131,TT858,33.67317,-110.57322,1778.508,TANKS,AZ,239068,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
132,TT857,34.30617,-110.23661,1969.3128000000002,PINEDALE,AZ,239067,Forest Technology System - F6 (F6),Bureau of Land Management - Phoenix,Modified BLM
